Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
11,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar. Top sepetten içeri girmez. Faulden sonra A1, sahadaki takım sıra bölgesinin içerisine düşer düşer. A6 yerinden kalkar ve A1'in ayağa kalkmasına yardım eder. A1, en geç yaklaşık 15 saniye içinde hemen oynamaya hazırdır.","A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A1 için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 ya da 3 serbest atış kullanacaktır.","B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar ve top sepetten içeri girmez. Faulden sonra A1, sahadaki takım sıra bölgesinin içerisine düşer. A6 yerinden kalkar ve A1'in ayağa kalkmasına yardım eder. A1, yaklaşık 15 saniye içinde hemen oynamaya hazırdır. Bu durumda ne olur?","A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almadığı için oyuncu değişikliği yapılmaz ve A1, 2 ya da 3 serbest atış kullanır.","A1, yardım aldığı için hemen oyundan çıkarılmalı ve oyuncu değişikliği yapılmalıdır.","A1, yardım aldığı için serbest atış hakkını kaybeder ve oyundan çıkarılmalıdır.","A6, sahadaki oyuncuya yardım ettiği için teknik faul almalıdır.",A
12,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","A1'e 2 serbest atış hakkı verilir. Hakem faulü hakem masasına bildirirken A1 sahanın en uzağındaki takımının sıra bölgesinin önündeki bir yere gider ve bir havlu veya bir şişe su ister. Takımının sıra bölgesinden herhangi bir kişi A1'e bir havlu ya da bir şişe su verir. A1 havluyla ellerini kurular ya da su içer. A1, en geç yaklaşık 15 saniye içinde hemen oynamaya hazırdır.","A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A1 için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 serbest atış kullanacaktır.","A1'e 2 serbest atış hakkı verilir. Hakem faulü hakem masasına bildirirken A1 sahanın en uzağındaki takımının sıra bölgesinin önündeki bir yere gider ve bir havlu veya bir şişe su ister. Takımının sıra bölgesinden herhangi bir kişi A1'e bir havlu ya da bir şişe su verir. A1 havluyla ellerini kurular ya da su içer. A1, en geç yaklaşık 15 saniye içinde hemen oynamaya hazırdır. Bu durumda A1 için ne yapılmalıdır?","A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almadığı için oyuncu değişikliği yapılmasına gerek yoktur ve 2 serbest atış kullanacaktır.","A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım aldığı için oyuncu değişikliği yapılmalıdır.","A1, havlu ve su aldığı için diskalifiye edilmelidir.","A1, 15 saniyeden fazla sürede hazır olmadığı için serbest atış hakkını kaybeder.",A
13,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","A1 başarılı bir şut atar. Topu oyuna sokan B1, hakeme topun ıslak olduğunu gösterir. Hakem oyunu durdurur. B takımının sıra bölgesinden herhangi biri oyun sahasına gelir ve topu kurular ya da topu kurulayacak olan B1'e bir havlu verir.","Her iki durumda da B1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. B1 için oyuncu değişikliği yapılması gerekmeyecektir. Oyun, doğrudan arkalığın arkası hariç dip çizginin gerisindeki herhangi bir yerden B takımının topu oyuna sokmasıyla devam edecektir. Hakem, topu oyuna sokması için topu B takımı oyuncusuna verecektir.","A1 başarılı bir şut atar. Topu oyuna sokan B1, hakeme topun ıslak olduğunu gösterir. Hakem oyunu durdurur. B takımının sıra bölgesinden herhangi biri oyun sahasına gelir ve topu kurular ya da topu kurulayacak olan B1'e bir havlu verir. Bu durumda ne olur?",B1'in yerine oyuncu değişikliği yapılması gerekir.,"B1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almıştır.","Hakem, B takımından bir oyuncuya topu oyuna sokması için topu verir ve oyun devam eder.","B takımı, topu arkalığın arkasından oyuna sokmalıdır.",C
14,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","Top, kendi ön sahasından oyuna sokmak için A1’in ellerindedir. A takımı fizyoterapisti geri sahadaki takım sıra bölgesini terk eder, sahanın dışında kalır ve A1'in bantlarını düzeltir.","A takımı fizyoterapisti A1'e, takım sıra bölgesi dışında bir yardım sağlamıştır. A1 için oyuncu değişikliği yapılması gerekecektir.","Top, kendi ön sahasından oyuna sokmak için A1’in ellerindedir. A takımı fizyoterapisti geri sahadaki takım sıra bölgesini terk eder, sahanın dışında kalır ve A1'in bantlarını düzeltir. Bu durumda ne yapılmalıdır?",A1 için oyuncu değişikliği yapılması gerekecektir.,"A1 oyuna devam edebilir, oyuncu değişikliği gerekmez.","A takımı fizyoterapisti, oyuncu değişikliği yapılmadan sahanın içine girebilir.",A1 için molaya gidilmesi gerekmektedir.,A
15,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","Top, kendi ön sahasından oyuna sokmak için henüz A1’in ellerinde değildir. A takımı fizyoterapisti ön sahadaki kendi takım sıra bölgesinde kalır ve A1'in bantlarını düzeltir.","A takımı fizyoterapisti, A1'e takım sıra bölgesi içinde bir yardım sağlamıştır. Yardım 15 saniye içinde tamamlanırsa A1'in değiştirilmesi gerekmez. Yardım 15 saniyeden fazla sürerse, A1 için oyuncu değişikliği yapılması gerekecektir.","Top, kendi ön sahasından oyuna sokmak için henüz A1’in ellerinde değildir. A takımı fizyoterapisti ön sahadaki kendi takım sıra bölgesinde kalır ve A1'in bantlarını düzeltir. Bu durumda ne olur?",Yardım 15 saniye içinde tamamlanırsa A1'in değiştirilmesi gerekmez.,"Yardım 15 saniyeden fazla sürerse, A1'in değiştirilmesi gerekmez.","Yardım süresi önemli olmaksızın, A1 oyuna devam edebilir.",A1'in hemen değiştirilmesi gerekir.,A
16,Madde 5 Sakatlanma ve yardım,5-12,"Açıklama: Doktorun görüşüne göre sahada ciddi bir şekilde sakatlanan oyuncunun hareket ettirilmesi tehlikeliyse, sakatlanan oyuncunun sahadan çıkarılması için zaman limiti yoktur.","A1, ciddi bir şekilde sakatlanır ve oyun 15 dakika kadar durur çünkü doktor, bu oyuncunun sahadan taşınmasının tehlikeli olacağını öngörmektedir.",Sakatlanan oyuncunun sahadan ne zaman çıkarılacağını doktorun kararı belirleyecektir. Değişiklikten sonra oyun herhangi bir yaptırım uygulanmadan yeniden başlayacaktır.,"A1 oyuncusu ciddi bir şekilde sakatlanır ve doktor, oyuncunun sahadan taşınmasının tehlikeli olacağını öngörmektedir. Oyun 15 dakika kadar durur. Bu durumda oyun nasıl devam etmelidir?",Doktorun kararı beklenir ve oyuncu sahadan çıkarıldıktan sonra oyun herhangi bir yaptırım uygulanmadan devam eder.,Oyuncu hemen sahadan çıkarılmalı ve oyun ısrarla devam ettirilmelidir.,"Oyuncu sahadan çıkarılamazsa, oyun iptal edilmelidir.",Oyuncunun sakatlığı nedeniyle takım otomatik olarak bir oyuncu kaybederek oynamaya devam etmelidir.,A
17,Madde 5 Sakatlanma ve yardım,5-14,"Açıklama: Bir oyuncu sakatlanır ya da kanaması veya açık yarası olur ve oyuna hemen (yaklaşık 15saniye içinde) devam edemezse, ya da takım sıra bölgesinde oturmasına izin verilen herhangi biri tarafından kendisine yardım edilmişse, değiştirilmelidir. Aynı duran saat periyodunda takımlardan birisine bir mola verilirse ve bu mola sırasında bu oyuncu iyileşirse ya da yardım tamamlanırsa sayı görevlisi mola için sesli işaretini, hakemin bir yedek oyuncuyu, bir oyuncu olması için çağırmasından önce verirse, oyuna devam edebilir.","A1 sakatlanır ve oyun durdurulur. A1, hemen oynamaya devam edemediğinden dolayı hakem bir değişiklik için bilinen işaretini yaparak düdüğünü çalar. İki takımdan birisi bir mola ister: (a) A1'le değişecek bir yedek oyuncu oyuna girmeden önce. (b) A1'le değişecek bir yedek oyuncu oyuna girdikten sonra. Mola bitiminde A1, iyileşmiş görülür ve oyunda kalmak ister.","(a) Eğer A1, mola sırasında iyileşirse oynamaya devam edebilir. (b) A1’in yerine bir yedek oyuncu oyuna girmiştir bu nedenle A1, bir sonraki oyun saatinin çalışma periyodu bitene kadar tekrar giremez.","A1 sakatlanır ve oyun durdurulur. A1, hemen oynamaya devam edemediğinden dolayı hakem bir değişiklik için bilinen işaretini yaparak düdüğünü çalar. İki takımdan birisi bir mola ister: (a) A1'le değişecek bir yedek oyuncu oyuna girmeden önce. (b) A1'le değişecek bir yedek oyuncu oyuna girdikten sonra. Mola bitiminde A1, iyileşmiş görülür ve oyunda kalmak ister. Bu durumda A1 oyuna devam edebilir mi?","A1, mola sırasında iyileşirse oynamaya devam edebilir.","A1, yedek oyuncu oyuna girdikten sonra oyuna devam edebilir.","A1, yedek oyuncu oyuna girmeden önce oyuna devam edemez.","A1, mola sırasında iyileşse bile oyuna devam edemez.",A
18,Madde 5 Sakatlanma ve yardım,5-16,Açıklama: Başantrenörü tarafından oyuna başlayacağı belirtilen oyuncular bir sakatlık durumunda değiştirilebilirler. Bir sakatlık durumunda serbest atışlar arasında tedavi gören oyuncular değiştirilmelidir. Bu durumlarda rakipler de eğer isterlerse aynı sayıda oyuncu değiştirme hakkına sahiptirler.,A1’e faul yapılır ve 2 serbest atış hakkı verilir. Birinci serbest atıştan sonra hakemler; (a) A1’de kanama tespit ederler ve A6 ile değiştirilir. B takımı 2 oyuncu değişikliği ister. (b) B1’de kanama tespit ederler ve B6 ile değiştirilir. A takımı 2 oyuncu değişikliği ister.,(a) B takımı sadece 1 oyuncu değiştirebilir. A6 ikinci serbest atışı kullanacaktır. (b) A takımı 1 oyuncu değiştirebilir. A1 ikinci serbest atışı kullanacaktır.,A1’e faul yapılır ve 2 serbest atış hakkı verilir. Birinci serbest atıştan sonra hakemler; (a) A1’de kanama tespit ederler ve A6 ile değiştirilir. B takımı 2 oyuncu değişikliği ister. (b) B1’de kanama tespit ederler ve B6 ile değiştirilir. A takımı 2 oyuncu değişikliği ister. Bu durumlarda hangi takımlar kaç oyuncu değiştirebilir?,"B takımı 2 oyuncu değiştirebilir, A1 ikinci serbest atışı kullanacaktır.","B takımı sadece 1 oyuncu değiştirebilir, A6 ikinci serbest atışı kullanacaktır.","A takımı 2 oyuncu değiştirebilir, A1 ikinci serbest atışı kullanacaktır.","A takımı 1 oyuncu değiştirebilir, B1 ikinci serbest atışı kullanacaktır.",B
19,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-1,"Açıklama: Maçın belirlenmiş başlama saatinden en az 40 dakika önce, her takımın başantrenörü ya da takımın temsilcisi sayı görevlisine oynayacak takım üyelerinin isimleri ve numaraları ile birlikte takım kaptanının, başantrenörün ve birinci yardımcı antrenörün isimlerini içeren bir liste verecektir. Başantrenör, oyuncuların formalarındaki numaraların listede doğru olduğundan kişisel olarak sorumludur. Maçın belirlenmiş başlama saatinden en az 10 dakika önce her başantrenör maç kağıdını imzalayarak, takım üyelerinin isim ve numaralarının ve aynı zamanda başantrenörün, birinci yardımcı antrenörün ve kaptanın isimlerinin maç kağıdına doğru bir şekilde yazıldığını teyit edecektir.","A takımı, takım listesini zamanında sayı görevlisine verir. 2 oyuncunun formalarındaki numaralarla listedeki numaralar aynı değildir ya da bir oyuncunun ismi maç kağıdında görünmemektedir. Bu, şu durumlarda fark edilirse: (a) Oyun başlamadan önce. (b) Oyun başladıktan sonra.","(a) Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir ya da oyuncunun ismi maç kağıdına eklenir. (b) Hakem, her iki takımı dezavantajlı duruma düşürmeden uygun bir zamanda oyunu durdurur. Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir. Ancak, oyuncunun ismi maç kağıdına eklenemez.","A takımı, takım listesini zamanında sayı görevlisine verir. 2 oyuncunun formalarındaki numaralarla listedeki numaralar aynı değildir ya da bir oyuncunun ismi maç kağıdında görünmemektedir. Bu durum (a) oyun başlamadan önce, (b) oyun başladıktan sonra fark edilirse ne yapılmalıdır?",(a) Yanlış numaralar herhangi bir yaptırım olmadan düzeltilir ve oyuncunun ismi eklenir. (b) Oyun durdurulmadan yanlış numaralar düzeltilir ve oyuncunun ismi eklenir.,"(a) Yanlış numaralar düzeltilir ve oyuncunun ismi eklenir. (b) Hakem oyunu uygun bir zamanda durdurur, yanlış numaralar düzeltilir ama oyuncunun ismi eklenemez.",(a) Yanlış numaralar düzeltilir ve oyuncunun ismi eklenir. (b) Hakem oyunu durdurmaz ve hiçbir değişiklik yapılmaz.,(a) Yanlış numaralar düzeltilmez ve oyuncunun ismi eklenmez. (b) Oyuncunun ismi eklenir ama numaralar değiştirilmez.,B
20,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-1,"Açıklama: Maçın belirlenmiş başlama saatinden en az 40 dakika önce, her takımın başantrenörü ya da takımın temsilcisi sayı görevlisine oynayacak takım üyelerinin isimleri ve numaraları ile birlikte takım kaptanının, başantrenörün ve birinci yardımcı antrenörün isimlerini içeren bir liste verecektir. Başantrenör, oyuncuların formalarındaki numaraların listede doğru olduğundan kişisel olarak sorumludur. Maçın belirlenmiş başlama saatinden en az 10 dakika önce her başantrenör maç kağıdını imzalayarak, takım üyelerinin isim ve numaralarının ve aynı zamanda başantrenörün, birinci yardımcı antrenörün ve kaptanın isimlerinin maç kağıdına doğru bir şekilde yazıldığını teyit edecektir.","A Takımının başantrenörü, sakat olan ya da oynayacağı düşünülmeyen oyuncuların oyun sırasında takım sırasında oturmalarına izin verilmesini ister.","Takımlar, takım sırasında oturmasına izin verilen en fazla 8 delegasyon üyelerinin kimlerden oluşacağına karar verebilirler.","A Takımının başantrenörü, sakat olan ya da oynayacağı düşünülmeyen oyuncuların oyun sırasında takım sırasında oturmalarına izin verilmesini ister. Bu durumda başantrenörün isteği geçerli olur mu?","Evet, takım sırasında oturmasına izin verilen en fazla 8 delegasyon üyesi arasında olabilirler.","Hayır, sakat olan ya da oynayacağı düşünülmeyen oyuncular takım sırasında oturamaz.","Evet, ancak sadece başantrenör ve yardımcı antrenör izin verirse oturabilirler.","Hayır, takım sırasında sadece maçta aktif olarak oynayacak oyuncular oturabilir.",A
